product_id,location_id,quantity,expiry_date,days_to_expiry,unit_cost,total_value
bread,Vietnam,250,15-12-2023,61,4.25,1062.5
butter,Thailand,180,05-11-2023,21,3.8,684
onions,Malaysia,120,25-10-2023,10,5.2,624
bread,Indonesia,320,20-12-2023,66,4.25,1360
tomatoes,China,85,22-10-2023,7,8.5,722.5
potatoes,Singapore,210,30-11-2023,46,6.75,1417.5
butter,Thailand,150,10-11-2023,26,3.8,570
cucumber,Germany,95,18-10-2023,3,12.3,1168.5
carrot,USA,280,15-01-2024,92,2.95,826
tomatoes,Indonesia,300,16-01-2024,88,3.85,728
tomatoes,India,280,18-07-2024,76,5.5,934
tomatoes,Srilanka,190,14-03-2024,56,5.75,555
tomatoes,Thailand,100,12-02-2024,90,8.8,780
tomatoes,Netherlands,80,11-10-2024,45,11.1,660
