audit_id,supplier_id,date,score,findings
A789,S001,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A790,S002,18-06-2023,92,"['waste_reduction_strength', 'energy_efficiency_strength']"
A791,S003,25-04-2023,78,"['chemical_management_issue', 'worker_safety_strength']"
A792,S004,08-07-2023,85,"['documentation_issue', 'community_engagement_strength']"
A793,S005,30-05-2023,81,"['working_hours_issue', 'environmental_management_strength']"
A794,S006,05-06-2023,76,"['waste_disposal_issue', 'training_programs_strength']"
A795,S007,10-04-2023,72,"['emissions_reporting_issue', 'recycling_program_strength']"
A796,S008,15-07-2023,90,"['minor_wage_issue', 'biodiversity_protection_strength']"
A797,S009,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A798,S010,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A799,S011,18-06-2023,92,"['waste_reduction_strength', 'energy_efficiency_strength']"
A800,S012,25-04-2023,78,"['chemical_management_issue', 'worker_safety_strength']"
A801,S013,08-07-2023,85,"['documentation_issue', 'community_engagement_strength']"
A802,S014,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A803,S015,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A804,S016,30-05-2023,81,"['working_hours_issue', 'environmental_management_strength']"
A805,S017,05-06-2023,76,"['waste_disposal_issue', 'training_programs_strength']"
A806,S018,10-04-2023,72,"['emissions_reporting_issue', 'recycling_program_strength']"
A807,S019,15-07-2023,90,"['minor_wage_issue', 'biodiversity_protection_strength']"
A808,S020,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A809,S021,22-05-2023,88,"['packaging_waste_issue', 'material_innovation_strength']"
A810,S022,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A811,S023,18-06-2023,92,"['waste_reduction_strength', 'energy_efficiency_strength']"
A812,S024,25-04-2023,78,"['chemical_management_issue', 'worker_safety_strength']"
A813,S025,08-07-2023,85,"['documentation_issue', 'community_engagement_strength']"
A814,S026,30-05-2023,81,"['working_hours_issue', 'environmental_management_strength']"
A815,S027,05-06-2023,76,"['waste_disposal_issue', 'training_programs_strength']"
A816,S028,10-04-2023,72,"['emissions_reporting_issue', 'recycling_program_strength']"
A817,S029,15-07-2023,90,"['minor_wage_issue', 'biodiversity_protection_strength']"
A818,S030,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A819,S031,22-05-2023,88,"['packaging_waste_issue', 'material_innovation_strength']"
A820,S032,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A821,S033,18-06-2023,92,"['waste_reduction_strength', 'energy_efficiency_strength']"
A822,S034,25-04-2023,78,"['chemical_management_issue', 'worker_safety_strength']"
A823,S035,08-07-2023,85,"['documentation_issue', 'community_engagement_strength']"
A824,S036,30-05-2023,81,"['working_hours_issue', 'environmental_management_strength']"
A825,S037,05-06-2023,76,"['waste_disposal_issue', 'training_programs_strength']"
A826,S038,10-04-2023,72,"['emissions_reporting_issue', 'recycling_program_strength']"
A827,S039,15-07-2023,90,"['minor_wage_issue', 'biodiversity_protection_strength']"
A828,S040,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A829,S041,22-05-2023,88,"['packaging_waste_issue', 'material_innovation_strength']"
A830,S042,12-05-2023,87,"['minor_labor_issue', 'water_management_strength']"
A831,S043,18-06-2023,92,"['waste_reduction_strength', 'energy_efficiency_strength']"
A832,S044,25-04-2023,78,"['chemical_management_issue', 'worker_safety_strength']"
A833,S045,08-07-2023,85,"['documentation_issue', 'community_engagement_strength']"
A834,S046,30-05-2023,81,"['working_hours_issue', 'environmental_management_strength']"
A835,S047,05-06-2023,76,"['waste_disposal_issue', 'training_programs_strength']"
A836,S048,10-04-2023,72,"['emissions_reporting_issue', 'recycling_program_strength']"
A837,S049,15-07-2023,90,"['minor_wage_issue', 'biodiversity_protection_strength']"
A838,S050,22-05-2023,83,"['fuel_efficiency_issue', 'route_optimization_strength']"
A839,S051,22-05-2023,88,"['packaging_waste_issue', 'material_innovation_strength']"
