supplier_id,Reporting Year,Scope1_emissions,Scope2_emissions,Water_Usage_m3
S001,2022,1250,4500,42000
S002,2022,3000,7000,32500
S003,2022,1150,6000,30000
S004,2022,750,8000,12000
S005,2022,1150,4390,30000
S006,2022,4300,5000,50000
S007,2022,7650,7000,60000
S008,2022,4563,8000,60000
S009,2022,2800,6500,80000
S010,2022,950,1800,92000
S011,2022,1250,4500,42000
S012,2022,3000,7000,32500
S013,2022,1150,6000,30000
S014,2022,750,8000,12000
S015,2022,1150,4390,30000
S016,2022,4300,5000,50000
S017,2022,7650,7000,60000
S018,2022,4563,8000,60000
S019,2022,2800,6500,80000
S020,2022,950,1800,92000
S021,2022,1250,4500,42000
S022,2022,3000,7000,32500
S023,2022,1150,6000,30000
S024,2022,750,8000,12000
S025,2022,1150,4390,30000
S026,2022,4300,5000,50000
S027,2022,7650,7000,60000
S028,2022,4563,8000,60000
S029,2022,2800,6500,80000
S030,2022,950,1800,92000
S031,2022,1250,4500,42000
S032,2022,3000,7000,32500
S033,2022,1150,6000,30000
S034,2022,750,8000,12000
S035,2022,1150,4390,30000
S036,2022,4300,5000,50000
S037,2022,7650,7000,60000
S038,2022,4563,8000,60000
S039,2022,2800,6500,80000
S040,2022,950,1800,92000
S041,2022,1250,4500,42000
S042,2022,3000,7000,32500
S043,2022,1150,6000,30000
S044,2022,750,8000,12000
S045,2022,1150,4390,30000
S046,2022,4300,5000,50000
S047,2022,7650,7000,60000
S048,2022,4563,8000,60000
S049,2022,2800,6500,80000
S050,2022,950,1800,92000
S051,2022,1000,3600,75000
