supplier_id,product_id,purchase_quantity,unit_cost,total_value
S001,bread,1000,4.25,4250
S002,butter,750,3.2,2400
S003,onions,500,2.5,1250
S004,tomatoes,250,4.5,1125
S005,potatoes,100,2.5,250
S006,cucumber,1000,4.25,4250
S007,carrot,750,3.2,2400
S008,capsicum,500,2.5,1250
S009,garlic,250,4.5,1125
S010,ginger,100,2.5,250
S011,vegetable oil,1000,4.25,4250
S012,mushroom,750,3.2,2400
S013,milk,500,2.5,1250
S014,bread,250,4.5,1125
S015,butter,100,2.5,250
S016,onions,1000,4.25,4250
S017,tomatoes,750,3.2,2400
S018,potatoes,500,2.5,1250
S019,cucumber,250,4.5,1125
S020,carrot,100,2.5,250
S021,capsicum,1000,4.25,4250
S022,garlic,750,3.2,2400
S023,ginger,500,2.5,1250
S024,vegetable oil,250,4.5,1125
S025,onions,100,2.5,250
S026,tomatoes,1000,4.25,4250
S027,potatoes,750,3.2,2400
S028,cucumber,500,2.5,1250
S029,carrot,250,4.5,1125
S030,capsicum,100,2.5,250
S031,garlic,1000,4.25,4250
S032,butter,750,3.2,2400
S033,onions,500,2.5,1250
S034,tomatoes,250,4.5,1125
S035,potatoes,100,2.5,250
S036,cucumber,1000,4.25,4250
S037,carrot,750,3.2,2400
S038,capsicum,500,2.5,1250
S039,garlic,250,4.5,1125
S040,ginger,100,2.5,250
S041,vegetable oil,1000,4.25,4250
S042,onions,750,3.2,2400
S043,tomatoes,500,2.5,1250
S044,potatoes,250,4.5,1125
S045,cucumber,100,2.5,250
S046,carrot,1000,4.25,4250
S047,capsicum,750,3.2,2400
S048,garlic,500,2.5,1250
S049,onions,250,4.5,1125
S050,tomatoes,100,2.5,250
S051,potatoes,1000,4.25,4250
